angle,k,signal,bad_tail,threshold,n_pairs,high_delta_count,high_delta_rate_all,flagged_pair_ratio,retained_pair_ratio,captured_high_delta_ratio,high_delta_rate_retained,high_delta_rate_flagged,precision_lift
LeftElbow,1,detect_conf_min,low,0.1,2582,161,0.06235476374903176,0.006584043377226956,0.993415956622773,0.0,0.06276803118908382,0.0,0.0
LeftElbow,6,detect_conf_min,low,0.1,2542,479,0.1884343036978757,0.006294256490952006,0.993705743509048,0.006263048016701462,0.18844022169437846,0.1875,0.9950417536534446
LeftElbow,1,detect_conf_min,low,0.2,2582,161,0.06235476374903176,0.026336173508907823,0.9736638264910922,0.018633540372670808,0.06284805091487669,0.04411764705882353,0.7075264888564121
LeftElbow,6,detect_conf_min,low,0.2,2542,479,0.1884343036978757,0.02832415420928403,0.971675845790716,0.031315240083507306,0.18785425101214576,0.20833333333333334,1.1056019485038273
LeftElbow,1,detect_conf_min,low,0.3,2582,161,0.06235476374903176,0.07552285050348567,0.9244771494965144,0.08074534161490683,0.062002513615416845,0.06666666666666667,1.0691511387163561
LeftElbow,6,detect_conf_min,low,0.3,2542,479,0.1884343036978757,0.08536585365853659,0.9146341463414634,0.09394572025052192,0.18666666666666668,0.2073732718894009,1.100507008648971
LeftElbow,1,detect_conf_min,low,0.4,2582,161,0.06235476374903176,0.13903950426026337,0.8609604957397367,0.18633540372670807,0.058929374718848404,0.08356545961002786,1.3401615944912542
LeftElbow,6,detect_conf_min,low,0.4,2542,479,0.1884343036978757,0.16011014948859165,0.8398898505114083,0.23173277661795408,0.17236533957845435,0.2727272727272727,1.4473334598595557
LeftElbow,1,detect_conf_min,low,0.5,2582,161,0.06235476374903176,0.19054996127033308,0.8094500387296669,0.2732919254658385,0.05598086124401914,0.08943089430894309,1.434227137302429
LeftElbow,6,detect_conf_min,low,0.5,2542,479,0.1884343036978757,0.22069236821400473,0.7793076317859953,0.31106471816283926,0.16658253407370016,0.26559714795008915,1.4094946765952538
LeftElbow,1,detect_conf_min,low,0.6,2582,161,0.06235476374903176,0.24322230828814873,0.7567776917118513,0.391304347826087,0.05015353121801433,0.10031847133757962,1.6088341179728607
