angle,k,signal,bad_tail,threshold,n_pairs,high_delta_count,high_delta_rate_all,flagged_pair_ratio,retained_pair_ratio,captured_high_delta_ratio,high_delta_rate_retained,high_delta_rate_flagged,precision_lift
LeftElbow,1,detect_conf_min,low,0.1,101,9,0.0891089108910891,0.0,1.0,0.0,0.0891089108910891,nan,nan
LeftElbow,6,detect_conf_min,low,0.1,96,20,0.20833333333333334,0.0,1.0,0.0,0.20833333333333334,nan,nan
LeftElbow,1,detect_conf_min,low,0.2,101,9,0.0891089108910891,0.24752475247524752,0.7524752475247525,0.3333333333333333,0.07894736842105263,0.12,1.3466666666666667
LeftElbow,6,detect_conf_min,low,0.2,96,20,0.20833333333333334,0.3020833333333333,0.6979166666666666,0.55,0.13432835820895522,0.3793103448275862,1.8206896551724137
LeftElbow,1,detect_conf_min,low,0.3,101,9,0.0891089108910891,0.44554455445544555,0.5544554455445545,0.8888888888888888,0.017857142857142856,0.17777777777777778,1.9950617283950618
LeftElbow,6,detect_conf_min,low,0.3,96,20,0.20833333333333334,0.4583333333333333,0.5416666666666666,0.95,0.019230769230769232,0.4318181818181818,2.0727272727272728
LeftElbow,1,detect_conf_min,low,0.4,101,9,0.0891089108910891,0.45544554455445546,0.5445544554455446,1.0,0.0,0.1956521739130435,2.1956521739130435
LeftElbow,6,detect_conf_min,low,0.4,96,20,0.20833333333333334,0.4791666666666667,0.5208333333333334,1.0,0.0,0.43478260869565216,2.0869565217391304
LeftElbow,1,detect_conf_min,low,0.5,101,9,0.0891089108910891,0.4752475247524752,0.5247524752475248,1.0,0.0,0.1875,2.104166666666667
LeftElbow,6,detect_conf_min,low,0.5,96,20,0.20833333333333334,0.5,0.5,1.0,0.0,0.4166666666666667,2.0
LeftElbow,1,detect_conf_min,low,0.6,101,9,0.0891089108910891,0.48514851485148514,0.5148514851485149,1.0,0.0,0.1836734693877551,2.0612244897959187
LeftElbow,6,detect_conf_min,low,0.6,96,20,0.20833333333333334,0.5104166666666666,0.4895833333333333,1.0,0.0,0.40816326530612246,1.9591836734693877
LeftElbow,1,pair_conf_min,low,0.1,101,9,0.0891089108910891,0.0,1.0,0.0,0.0891089108910891,nan,nan
LeftElbow,6,pair_conf_min,low,0.1,96,20,0.20833333333333334,0.0,1.0,0.0,0.20833333333333334,nan,nan
LeftElbow,1,pair_conf_min,low,0.2,101,9,0.0891089108910891,0.019801980198019802,0.9801980198019802,0.1111111111111111,0.08080808080808081,0.5,5.611111111111112
LeftElbow,6,pair_conf_min,low,0.2,96,20,0.20833333333333334,0.010416666666666666,0.9895833333333334,0.0,0.21052631578947367,0.0,0.0
LeftElbow,1,pair_conf_min,low,0.3,101,9,0.0891089108910891,0.3564356435643564,0.6435643564356436,0.6666666666666666,0.046153846153846156,0.16666666666666666,1.8703703703703705
LeftElbow,6,pair_conf_min,low,0.3,96,20,0.20833333333333334,0.3958333333333333,0.6041666666666666,0.8,0.06896551724137931,0.42105263157894735,2.021052631578947
LeftElbow,1,pair_conf_min,low,0.4,101,9,0.0891089108910891,0.44554455445544555,0.5544554455445545,1.0,0.0,0.2,2.2444444444444445
LeftElbow,6,pair_conf_min,low,0.4,96,20,0.20833333333333334,0.46875,0.53125,1.0,0.0,0.4444444444444444,2.1333333333333333
LeftElbow,1,pair_conf_min,low,0.5,101,9,0.0891089108910891,0.45544554455445546,0.5445544554455446,1.0,0.0,0.1956521739130435,2.1956521739130435
LeftElbow,6,pair_conf_min,low,0.5,96,20,0.20833333333333334,0.4791666666666667,0.5208333333333334,1.0,0.0,0.43478260869565216,2.0869565217391304
LeftElbow,1,pair_conf_min,low,0.6,101,9,0.0891089108910891,0.46534653465346537,0.5346534653465347,1.0,0.0,0.19148936170212766,2.148936170212766
LeftElbow,6,pair_conf_min,low,0.6,96,20,0.20833333333333334,0.4895833333333333,0.5104166666666666,1.0,0.0,0.425531914893617,2.0425531914893615
LeftElbow,1,stereo_quality_min,low,0.05,101,9,0.0891089108910891,0.8910891089108911,0.10891089108910891,1.0,0.0,0.1,1.1222222222222222
LeftElbow,6,stereo_quality_min,low,0.05,96,20,0.20833333333333334,0.9166666666666666,0.08333333333333333,1.0,0.0,0.22727272727272727,1.0909090909090908
LeftElbow,1,stereo_quality_min,low,0.1,101,9,0.0891089108910891,0.9702970297029703,0.0297029702970297,1.0,0.0,0.09183673469387756,1.0306122448979593
LeftElbow,6,stereo_quality_min,low,0.1,96,20,0.20833333333333334,0.9895833333333334,0.010416666666666666,1.0,0.0,0.21052631578947367,1.0105263157894735
LeftElbow,1,stereo_quality_min,low,0.2,101,9,0.0891089108910891,1.0,0.0,1.0,nan,0.0891089108910891,1.0
LeftElbow,6,stereo_quality_min,low,0.2,96,20,0.20833333333333334,1.0,0.0,1.0,nan,0.20833333333333334,1.0
LeftElbow,1,stereo_quality_min,low,0.3,101,9,0.0891089108910891,1.0,0.0,1.0,nan,0.0891089108910891,1.0
LeftElbow,6,stereo_quality_min,low,0.3,96,20,0.20833333333333334,1.0,0.0,1.0,nan,0.20833333333333334,1.0
LeftElbow,1,stereo_quality_min,low,0.4,101,9,0.0891089108910891,1.0,0.0,1.0,nan,0.0891089108910891,1.0
LeftElbow,6,stereo_quality_min,low,0.4,96,20,0.20833333333333334,1.0,0.0,1.0,nan,0.20833333333333334,1.0
LeftElbow,1,stereo_quality_min,low,0.5,101,9,0.0891089108910891,1.0,0.0,1.0,nan,0.0891089108910891,1.0
LeftElbow,6,stereo_quality_min,low,0.5,96,20,0.20833333333333334,1.0,0.0,1.0,nan,0.20833333333333334,1.0
LeftElbow,1,epipolar_error_max,high,3.0,101,9,0.0891089108910891,1.0,0.0,1.0,nan,0.0891089108910891,1.0
LeftElbow,6,epipolar_error_max,high,3.0,96,20,0.20833333333333334,1.0,0.0,1.0,nan,0.20833333333333334,1.0
LeftElbow,1,epipolar_error_max,high,6.0,101,9,0.0891089108910891,1.0,0.0,1.0,nan,0.0891089108910891,1.0
LeftElbow,6,epipolar_error_max,high,6.0,96,20,0.20833333333333334,1.0,0.0,1.0,nan,0.20833333333333334,1.0
LeftElbow,1,epipolar_error_max,high,10.0,101,9,0.0891089108910891,1.0,0.0,1.0,nan,0.0891089108910891,1.0
