variant,angle,k,valid_joint_ratio,elbow_chain_valid_ratio,n_delta_pairs,mean_delta_deg,p90_delta_deg,p95_delta_deg,high_delta_rate
raw,LeftElbow,1,0.6612745098039216,0.49166666666666664,58,4.439182627817776,10.056896301373408,11.524220276495916,0.017241379310344827
raw,LeftElbow,6,0.6612745098039216,0.49166666666666664,53,8.099768102868728,16.40907062234215,20.111524422842457,0.018867924528301886
raw,RightElbow,1,0.6612745098039216,0.5666666666666667,65,4.509552788231683,10.594638712185976,14.036285790056219,0.0
raw,RightElbow,6,0.6612745098039216,0.5666666666666667,61,11.451142140731031,26.309416638309443,37.15469128438994,0.06557377049180328
bone_only,LeftElbow,1,0.7843137254901961,1.0,119,2.4398909515023566,5.994096335612697,8.070455009765784,0.008403361344537815
bone_only,LeftElbow,6,0.7843137254901961,1.0,114,7.475231514650006,11.113945123694496,44.23952771994465,0.05263157894736842
bone_only,RightElbow,1,0.7843137254901961,1.0,119,3.927989724217946,9.45538750190234,14.339387215717798,0.01680672268907563
bone_only,RightElbow,6,0.7843137254901961,1.0,114,10.360206544659437,36.83683128926272,44.02543272969521,0.10526315789473684
one_euro_only,LeftElbow,1,0.6612745098039216,0.49166666666666664,58,1.9023907838783192,4.949467611983101,5.405199716050059,0.0
one_euro_only,LeftElbow,6,0.6612745098039216,0.49166666666666664,53,6.569114833071611,12.137796147041405,17.071882985229344,0.0
one_euro_only,RightElbow,1,0.6612745098039216,0.5666666666666667,65,2.6381806723335077,6.159756371316616,10.55764946638252,0.0
one_euro_only,RightElbow,6,0.6612745098039216,0.5666666666666667,61,9.950095712957335,25.97966850671125,33.46952255815522,0.04918032786885246
bone_plus_one_euro,LeftElbow,1,0.7843137254901961,1.0,119,1.5064849417833128,4.197106167549203,5.7173877791915455,0.008403361344537815
bone_plus_one_euro,LeftElbow,6,0.7843137254901961,1.0,114,6.780311848134895,12.380652898686645,33.95144873667827,0.05263157894736842
bone_plus_one_euro,RightElbow,1,0.7843137254901961,1.0,119,2.208079087189145,5.989931984438309,9.141180644499455,0.0
bone_plus_one_euro,RightElbow,6,0.7843137254901961,1.0,114,7.851915588867469,21.646409670983672,29.687405692439896,0.03508771929824561
kalman_only,LeftElbow,1,1.0,1.0,119,1.546869569964947,3.2978836159040554,9.635027806846043,0.0
kalman_only,LeftElbow,6,1.0,1.0,114,8.306598741485065,19.61059806481823,41.17738210529125,0.06140350877192982
kalman_only,RightElbow,1,1.0,1.0,119,2.930802913722138,4.33646334554099,7.1766788936277965,0.01680672268907563
kalman_only,RightElbow,6,1.0,1.0,114,16.479966683794526,55.79316055186983,100.7030513394333,0.12280701754385964
