variant,angle,k,valid_joint_ratio,elbow_chain_valid_ratio,n_delta_pairs,mean_delta_deg,p90_delta_deg,p95_delta_deg,high_delta_rate
raw,LeftElbow,1,0.7626477938551358,0.7283113173866477,1907,17.542738266606964,43.19064172722831,56.43768910727314,0.1457787100157315
raw,LeftElbow,6,0.7626477938551358,0.7283113173866477,1818,24.508485705974987,55.688106356719146,71.19722903685802,0.24147414741474146
raw,RightElbow,1,0.7626477938551358,0.8479114601927883,2255,16.762819721199328,43.40006576497997,60.90648303957119,0.13835920177383593
raw,RightElbow,6,0.7626477938551358,0.8479114601927883,2188,25.70323140289224,61.445345836007355,78.36311142483248,0.2545703839122486
bone_only,LeftElbow,1,0.810991872650524,0.9260978222063548,2582,14.782312124160512,37.418972191964905,53.635311393077274,0.10883036405886909
bone_only,LeftElbow,6,0.810991872650524,0.9260978222063548,2542,23.70582783313895,56.46629398386197,75.31721797365186,0.23446105428796224
bone_only,RightElbow,1,0.810991872650524,0.9375223134594788,2609,15.596290362359028,39.867337384705,52.795841986398024,0.12495208892295899
bone_only,RightElbow,6,0.810991872650524,0.9375223134594788,2571,25.0680483070064,57.96827357468926,75.77669826208546,0.24776351614157915
one_euro_only,LeftElbow,1,0.7626477938551358,0.7283113173866477,1907,11.213405619300515,27.694108603920522,41.101200101068635,0.07288935500786575
one_euro_only,LeftElbow,6,0.7626477938551358,0.7283113173866477,1818,21.804245254386196,48.460424676171044,64.40911500391944,0.19801980198019803
one_euro_only,RightElbow,1,0.7626477938551358,0.8479114601927883,2255,11.073091843114526,29.533934904770724,41.44094026757053,0.06962305986696231
one_euro_only,RightElbow,6,0.7626477938551358,0.8479114601927883,2188,23.846641975173277,59.08580583077597,75.31644890120394,0.22760511882998172
bone_plus_one_euro,LeftElbow,1,0.810991872650524,0.9260978222063548,2582,9.74091009587146,24.313976398484954,36.984080435818385,0.05731990704879938
bone_plus_one_euro,LeftElbow,6,0.810991872650524,0.9260978222063548,2542,20.22297268281948,48.87272302490454,64.42736421449777,0.1848937844217152
bone_plus_one_euro,RightElbow,1,0.810991872650524,0.9375223134594788,2609,9.695654092214207,23.612179652879785,35.47762800645475,0.05097738597163664
bone_plus_one_euro,RightElbow,6,0.810991872650524,0.9375223134594788,2571,21.49650426950993,48.982671467624925,68.85162951240468,0.19214313496693894
kalman_only,LeftElbow,1,1.0,1.0,2800,3.788739114803651,8.21113984417952,14.427958206125608,0.013214285714285715
kalman_only,LeftElbow,6,1.0,1.0,2795,14.575617591943727,35.10337956267646,52.4223661834869,0.10125223613595706
kalman_only,RightElbow,1,1.0,1.0,2800,3.355177029247148,7.457479216617152,10.932667117057026,0.008928571428571428
kalman_only,RightElbow,6,1.0,1.0,2795,13.615396922537233,33.14663502384103,48.10163082367483,0.09123434704830054
