angle,k,signal,bad_tail,threshold,n_pairs,high_delta_count,high_delta_rate_all,flagged_pair_ratio,retained_pair_ratio,captured_high_delta_ratio,high_delta_rate_retained,high_delta_rate_flagged,precision_lift
LeftElbow,1,detect_conf_min,low,0.1,119,1,0.008403361344537815,0.453781512605042,0.5462184873949579,0.0,0.015384615384615385,0.0,0.0
LeftElbow,6,detect_conf_min,low,0.1,114,6,0.05263157894736842,0.47368421052631576,0.5263157894736842,0.0,0.1,0.0,0.0
LeftElbow,1,detect_conf_min,low,0.2,119,1,0.008403361344537815,0.4957983193277311,0.5042016806722689,0.0,0.016666666666666666,0.0,0.0
LeftElbow,6,detect_conf_min,low,0.2,114,6,0.05263157894736842,0.5175438596491229,0.4824561403508772,0.8333333333333334,0.01818181818181818,0.0847457627118644,1.6101694915254237
LeftElbow,1,detect_conf_min,low,0.3,119,1,0.008403361344537815,0.5126050420168067,0.48739495798319327,1.0,0.0,0.01639344262295082,1.9508196721311477
LeftElbow,6,detect_conf_min,low,0.3,114,6,0.05263157894736842,0.5350877192982456,0.4649122807017544,1.0,0.0,0.09836065573770492,1.8688524590163935
LeftElbow,1,detect_conf_min,low,0.4,119,1,0.008403361344537815,0.5378151260504201,0.46218487394957986,1.0,0.0,0.015625,1.859375
LeftElbow,6,detect_conf_min,low,0.4,114,6,0.05263157894736842,0.5614035087719298,0.43859649122807015,1.0,0.0,0.09375,1.78125
LeftElbow,1,detect_conf_min,low,0.5,119,1,0.008403361344537815,0.5378151260504201,0.46218487394957986,1.0,0.0,0.015625,1.859375
LeftElbow,6,detect_conf_min,low,0.5,114,6,0.05263157894736842,0.5614035087719298,0.43859649122807015,1.0,0.0,0.09375,1.78125
LeftElbow,1,detect_conf_min,low,0.6,119,1,0.008403361344537815,0.5546218487394958,0.44537815126050423,1.0,0.0,0.015151515151515152,1.8030303030303032
LeftElbow,6,detect_conf_min,low,0.6,114,6,0.05263157894736842,0.5789473684210527,0.42105263157894735,1.0,0.0,0.09090909090909091,1.7272727272727275
LeftElbow,1,pair_conf_min,low,0.1,119,1,0.008403361344537815,0.453781512605042,0.5462184873949579,0.0,0.015384615384615385,0.0,0.0
LeftElbow,6,pair_conf_min,low,0.1,114,6,0.05263157894736842,0.47368421052631576,0.5263157894736842,0.0,0.1,0.0,0.0
LeftElbow,1,pair_conf_min,low,0.2,119,1,0.008403361344537815,0.4957983193277311,0.5042016806722689,0.0,0.016666666666666666,0.0,0.0
LeftElbow,6,pair_conf_min,low,0.2,114,6,0.05263157894736842,0.5175438596491229,0.4824561403508772,0.8333333333333334,0.01818181818181818,0.0847457627118644,1.6101694915254237
LeftElbow,1,pair_conf_min,low,0.3,119,1,0.008403361344537815,0.5042016806722689,0.4957983193277311,1.0,0.0,0.016666666666666666,1.9833333333333334
LeftElbow,6,pair_conf_min,low,0.3,114,6,0.05263157894736842,0.5263157894736842,0.47368421052631576,1.0,0.0,0.1,1.9000000000000001
LeftElbow,1,pair_conf_min,low,0.4,119,1,0.008403361344537815,0.5126050420168067,0.48739495798319327,1.0,0.0,0.01639344262295082,1.9508196721311477
LeftElbow,6,pair_conf_min,low,0.4,114,6,0.05263157894736842,0.5350877192982456,0.4649122807017544,1.0,0.0,0.09836065573770492,1.8688524590163935
LeftElbow,1,pair_conf_min,low,0.5,119,1,0.008403361344537815,0.5294117647058824,0.47058823529411764,1.0,0.0,0.015873015873015872,1.8888888888888888
LeftElbow,6,pair_conf_min,low,0.5,114,6,0.05263157894736842,0.5526315789473685,0.4473684210526316,1.0,0.0,0.09523809523809523,1.8095238095238095
LeftElbow,1,pair_conf_min,low,0.6,119,1,0.008403361344537815,0.5378151260504201,0.46218487394957986,1.0,0.0,0.015625,1.859375
LeftElbow,6,pair_conf_min,low,0.6,114,6,0.05263157894736842,0.5614035087719298,0.43859649122807015,1.0,0.0,0.09375,1.78125
LeftElbow,1,stereo_quality_min,low,0.05,119,1,0.008403361344537815,0.773109243697479,0.226890756302521,1.0,0.0,0.010869565217391304,1.2934782608695652
LeftElbow,6,stereo_quality_min,low,0.05,114,6,0.05263157894736842,0.7982456140350878,0.20175438596491227,1.0,0.0,0.06593406593406594,1.252747252747253
LeftElbow,1,stereo_quality_min,low,0.1,119,1,0.008403361344537815,0.957983193277311,0.04201680672268908,1.0,0.0,0.008771929824561403,1.043859649122807
LeftElbow,6,stereo_quality_min,low,0.1,114,6,0.05263157894736842,0.9473684210526315,0.05263157894736842,1.0,0.0,0.05555555555555555,1.0555555555555556
LeftElbow,1,stereo_quality_min,low,0.2,119,1,0.008403361344537815,1.0,0.0,1.0,nan,0.008403361344537815,1.0
LeftElbow,6,stereo_quality_min,low,0.2,114,6,0.05263157894736842,1.0,0.0,1.0,nan,0.05263157894736842,1.0
LeftElbow,1,stereo_quality_min,low,0.3,119,1,0.008403361344537815,1.0,0.0,1.0,nan,0.008403361344537815,1.0
